Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time,Keyboard,Browser,Alert types,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1
b'htc',b'HTC Wildfire X',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-x-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, August 14'","b'Available. Released 2019, August 22'",b'156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in)',b'160 g (5.64 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~81.7% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'eMMC 5.1',b'Android 9 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 128GB 4GB RAM'",,"b'12 MP, (wide), 1/2.8"", 1.25\xc2\xb5m, PDAF 8 MP, (telephoto), 2x optical zoom 5 MP, f/2.4, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',,,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',,b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 3300 mAh, non-removable'",b'Charging 10W',b'Sapphire Blue',,,b'About 150 EUR',,b'8 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC U19e',b'https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat15 800/150 Mbps'","b'2019, June 11'","b'Available. Released 2019, June 11'",b'156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in)',b'180 g (6.35 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10'","b'6.0 inches, 92.9 cm2 (~78.2% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'24-bit/192kHz audio',"b'Android 9.0 (Pie), HTC Sense'",b'Qualcomm SDM710 Snapdragon 710 (10 nm)',b'Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver)',b'Adreno 616',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',,,"b'Dual-LED dual-tone flash, Auto HDR, panorama'",b'4K@30fps',"b'12 MP, f/1.8, 26mm (wide), PDAF 20 MP, f/2.6, 52mm (telephoto), 2x optical zoom'",b'Auto HDR',b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',,b'FM radio',b'USB Type-C 3.1',"b'Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3930 mAh, non-removable'",b'Fast charging 18W Quick Charge 4.0',"b'Extraordinary Purple, Modest Green'",,,b'About 420 EUR',,,,,,,,,,"b'Glass front (Gorilla Glass), glass back, aluminum frame'",,,"b'24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9\xc2\xb5m 2 MP, f/2.2 (depth sensor)'",b'Corning Gorilla Glass (unspecified)',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 19+',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19-plus-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, June 11'","b'Available. Released 2019, August 07'",b'156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'eMMC 5.1',b'Android 9 (Pie)',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,"b'13 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.2, (depth)'","b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',,b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3850 mAh, non-removable'",b'Charging 10W',"b'Star Can Blue, Jasmine White'",,,b'About 280 EUR',,"b'16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 12s',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12s-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~74.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'eMMC 5.1',b'Android 8.1 (Oreo)',b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'",,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',,b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3075 mAh, non-removable'",,"b'Black, Silver, Red'",,,b'About 200 EUR',,"b'13 MP, f/2.0, PDAF'",,,,,,,,,,"b'13 MP, f/2.2'",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Exodus 1',b'https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1-new.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'4, 12, 17, 28, 20, 5, 8, 3, 1, 7, 32, 2, 13, 66, 39, 40, 38, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2018, October 23'","b'Available. Released 2018, December 06'",b'156.6 x 73.9 x 8.7 mm (6.17 x 2.91 x 0.34 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super LCD6',"b'6.0 inches, 92.9 cm2 (~80.3% screen-to-body ratio)'","b'1440 x 2880 pixels, 18:9 ratio (~537 ppi density)'",b'IP68 dust/water resistant (up to 1.5m for 30 mins)',b'Android 8.1 (Oreo)',b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',b'No',b'128GB 6GB RAM',b'UFS 2.1',,"b'Dual-LED dual-tone flash, HDR'","b'4K@60fps, 1080p@60/240fps, 1080p@30fps (gyro-EIS), HDR, 24-bit/96kHz stereo sound rec.'","b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, Laser AF, OIS 16 MP (12 MP effective), f/2.6, 1/3.1"", 1.0\xc2\xb5m, 2x optical zoom, AF'","b'HDR, panorama'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',,b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3500 mAh, non-removable'","b'Fast charging 18W, 50% in 35 min (advertised) Quick Charge 3.0'",b'Black',b'Zion crypto wallet Secure Enclave Social Key Recovery (key sharding) dApps (decentralized apps)',,b'About BTC 0.15/ETH 4.78(crypto curr)',,,,,,,,,,,,,"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m 8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC U12 life',b'https://fdn2.gsmarena.com/vv/bigpic/htc-u12-life.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 40, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps'","b'2018, August'","b'Available. Released 2018, September'",b'158.5 x 75.4 x 8.3 mm (6.24 x 2.97 x 0.33 in)',b'175 g (6.17 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~77.7% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'eMMC 5.1',b'Android 8.1 (Oreo)',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)',b'Adreno 509',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",,,"b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, PDAF 5 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',,b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3600 mAh, non-removable'",b'Charging 10W',"b'Moonlight Blue, Twilight Purple'",,"b'U12 life, 2Q6E1'",b'About 230 EUR',,"b'13 MP, f/2.0'",,,,,,,,"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC U12+',b'https://fdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 32, 38, 39, 49, 41, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2018, May 23'","b'Available. Released 2018, June 29'",b'156.6 x 73.9 x 8.7 mm (6.17 x 2.91 x 0.34 in)',b'188 g (6.63 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'Super LCD6, HDR10'","b'6.0 inches, 92.9 cm2 (~80.3% screen-to-body ratio)'","b'1440 x 2880 pixels, 18:9 ratio (~537 ppi density)'",b'IP68 dust/water resistant (up to 1.5m for 30 mins) Pressure-sensitive buttons',"b'Android 8.0 (Oreo), upgradable to Android 9.0 (Pie), Sense UI'",b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',b'Adreno 630',b'microSDXC (uses shared SIM slot)',"b'64GB 6GB RAM, 128GB 6GB RAM'",b'32-bit/384kHz audio',,"b'Dual-LED dual-tone flash, HDR'","b'4K@60fps, 1080p@60/240fps, 1080p@30fps (gyro-EIS), HDR, 24-bit/96kHz stereo sound rec.'","b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, Laser AF, OIS 16 MP (12 MP effective), f/2.6, 1/3.1"", 1.0\xc2\xb5m, 2x optical zoom, AF'","b'HDR, panorama'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, aptX HD, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',,b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3500 mAh, non-removable'","b'Fast charging 18W, 50% in 35 min (advertised) Quick Charge 3.0'","b'Translucent Blue, Ceramic Black, Flame Red'",,"b'U12, 2Q55100'",b'About 450 EUR',,,b'AnTuTu: 263696 (v7)GeekBench: 9001 (v4.4)GFXBench: 20fps (ES 3.1 onscreen)',"b'Contrast ratio: 1818:1 (nominal), 3.085 (sunlight)'",b'Photo / Video',b'Voice 77dB / Noise 73dB / Ring 99dB',b'Endurance rating 64h',,,"b'Glass front (Gorilla Glass 3), glass back, aluminum frame'",,,"b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m 8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'Corning Gorilla Glass 3',,,,,b'Noise -93.7dB / Crosstalk -52.7dB',,,,,,,,,b'Up to 24 h (3G)',,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 12+',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, March 20'","b'Available. Released 2018, June 07'",b'158.2 x 76.6 x 8.4 mm (6.23 x 3.02 x 0.33 in)',b'157.5 g (5.57 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~76.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'","b'1, 3, 5, 7, 8, 20, 28, 38, 40'",b'Android 8.0 (Oreo)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, PDAF 2 MP, (depth)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',,b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 2965 mAh, non-removable'",,"b'Black, Silver, Gold'",,b'Desire 12',b'About 170 EUR',,"b'8 MP, f/2.0'",,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 522 h (3G)',b'Up to 26 h (3G)',,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 12',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, March'","b'Available. Released 2018, May'",b'148.5 x 70.8 x 8.2 mm (5.85 x 2.79 x 0.32 in)',b'137 g (4.83 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 78.1 cm2 (~74.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'","b'2, 4, 5, 7, 12, 17, 28 - USA'",b'Android 7.x (Nougat)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'PowerVR GE8100',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'",b'eMMC 5.1',,"b'LED flash, HDR, panorama'",b'1080p@30fps',,,b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',,b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2730 mAh, non-removable'",,"b'Cool Black, Warm Silver'",,,b'About 130 EUR',,"b'13 MP, f/2.2, PDAF'",,,,,,,,,,"b'5 MP, f/2.4, 1/5"" 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC U11 Eyes',b'https://fdn2.gsmarena.com/vv/bigpic/htc-u11-eyes-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, January'","b'Available. Released 2018, January'",b'157.9 x 75 x 8.5 mm (6.22 x 2.95 x 0.33 in)',b'185 g (6.53 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'Super LCD3',"b'6.0 inches, 92.9 cm2 (~78.4% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'IP67 dust/water resistant (up to 1m for 30 mins)',"b'Android 8.0 (Oreo), Sense UI'",b'Qualcomm MSM8976 Snapdragon 652 (28 nm)',b'Octa-core',b'Adreno 510',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',b'eMMC 5.1',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'4K@30fps, 1080p@120fps'","b'5 MP, f/2.2 5 MP'",,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',,b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3930 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',"b'Black, Red, Blue'",b'24-bit/192kHz audio',b'2Q4R100',b'About 300 EUR',,"b'12 MP, f/1.7, 1.4 \xce\xbcm, PDAF, OIS'",,,,,,,,,,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,,,,,,,
